fbca,e2,346,2f8,ffa4,30,20
fcbb,e6,342,2e2,ff8d,3b,1b
fc23,e8,33e,2ec,ff7d,3d,15
feae,f8,342,2e6,ff87,3b,16
fe6c,ec,346,2ec,ffa6,40,13
fdff,f8,348,2f0,ffbc,46,8
fe9d,ec,342,2f2,ffcd,3f,3d
feb8,ee,338,2e2,ffd3,37,3f
ffff,f0,33c,2e6,ffc9,2b,32
ff8a,e8,346,2e2,ffba,22,2c
ff,e6,34c,2e2,ffae,22,2c
15f,e6,34c,2e6,ffa3,1d,25
a2,ec,342,2ec,ffb4,20,1f
ffb8,e6,33e,2e6,ffc6,30,1a
fd43,e6,33c,2e6,ffe3,2f,7
fd1a,ec,338,2e2,fff3,2d,23
fddc,e6,33e,2f0,fff6,2e,2e
fdd5,f0,346,2e8,fff0,2e,2c
fd2c,ec,342,2f6,ffe6,2e,2f
fe75,ee,33e,2e6,ffdd,35,21
fe28,f0,33e,2e6,ffcc,39,ffff
fc5b,f0,33e,2ee,ffd2,38,fffb
fdee,ee,346,2ec,ffd7,44,1a
fdbb,f2,34c,2f0,ffd9,52,1f
fe5c,f2,33e,2e8,ffda,5b,21
22,e8,33e,2e6,ffec,5b,1f
ff60,f8,342,2f0,ffdb,58,14
162,ec,340,2e8,ffd0,5c,4
2db,e0,346,2f2,19,60,ffba
24a,e8,33e,2e2,fffc,5f,ffc8
336,f0,33e,2e8,ffdc,59,fff1
37f,f0,342,2e6,ffbc,50,ffea
2f2,f4,346,2ee,ffa5,42,ffe0
4e6,f6,346,2e6,ffa9,34,ffd3
52e,e0,348,2ec,6,2b,ffc3
4e0,e2,348,2de,1f,2b,ffbd
62d,e6,346,2e0,ffaa,28,fff9
75c,f0,33e,2e0,ffaf,22,8
76d,f2,340,2f0,ffb9,22,ffd9
91e,fc,340,2ee,ffce,23,ffd9
886,f8,33e,2e6,ffe4,1d,ffd5
909,e6,340,2e2,ffea,18,ffd0
923,ec,346,2e2,ffae,10,ffde
8ee,e6,346,2e0,ffae,c,fff5
7bb,ec,346,2f0,ffdd,ff99,ff9c
7f9,f2,34e,2f2,49,ff83,ffc3
50b,fc,342,2ec,26,ff60,ffde
54d,fc,338,2e2,ffb0,ff60,ff74
60a,fc,338,2e6,ff86,ff76,ff4d
472,f0,33e,2de,ffc9,ff95,ff73
329,fc,346,2e0,17,ffa5,ff77
403,106,346,2f2,28,ffae,ff7a
516,10c,33e,2f0,32,ffa0,ffac
586,f0,33c,2e0,32,ffa6,ff9c
694,102,33c,2e0,19,ffcb,ffc3
7eb,f0,346,2e0,ffdd,ffe7,ffa5
7b5,f2,34c,2e6,ff8a,fff8,ffc6
985,10e,342,2ec,ff4a,fffa,ffe2
