df31,ff90,266,3b0,69,6b,ffbf
df47,ff8e,260,3b0,6d,67,ffb5
e1c4,ff70,266,3b8,68,5c,ffaa
e29c,ff80,266,3b6,ffcb,21,ffc2
e20d,ff80,25e,3be,ffe9,19,ffc5
de16,ff98,266,3ac,fff6,18,fff2
dcca,ff8e,26c,3b0,fffa,1c,ffe0
de03,ff98,262,3b2,fff0,1c,ffd9
debd,ff80,260,3be,ffd3,1f,ffcd
de48,ff82,260,3b8,ffb3,27,ffbc
de23,ff8e,25e,3b0,ff98,2e,ffba
de3a,ff86,266,3a8,ff7c,2c,ffec
de30,ff96,270,3be,ff6b,24,ffee
df73,ff8e,270,3b2,ff73,25,ffcf
de5c,ff82,260,3ac,ff7b,23,ffde
def7,ff98,260,3b0,ff72,20,ffde
debb,ff80,25e,3b0,ff5a,22,ffe0
dea8,ff8c,266,3b2,ff47,23,ffe5
dfac,ff80,25e,3c0,ff47,1b,ffe5
deb1,ff98,266,3b8,ff64,1e,2
dcde,ff8c,266,3b8,ff61,2b,4
dbdc,ff80,25c,3c0,ff6d,23,fffd
db08,ff88,260,3b0,ff80,14,fffe
da5c,ff70,260,3be,ff88,10,fffa
d8a1,ff9e,250,3b2,ff94,e,fff5
d70a,ff9e,26e,3b2,ffa3,9,fffd
d567,ff96,270,3b6,ffb9,7,7
d461,ff86,25e,3c0,ffb8,a,1
d3f5,ff98,258,3b8,ff98,c,fffe
d291,ff98,260,3be,ff7a,16,f
d270,ff7e,25e,3c0,ff6f,21,13
d1a7,ff96,260,3b6,ff67,23,11
d1bf,ff82,266,3b8,ff6c,22,0
d143,ff82,25e,3a6,ff82,1c,fffe
d062,ff98,260,3b8,ffa4,20,1
d11f,ff82,260,3c0,ff94,3d,ffb6
cd91,ff9c,266,3be,ff98,49,ffc1
c9c3,ff8e,266,3b8,ffba,48,ffd6
c776,ff92,258,3b6,5,44,ffd2
c6e3,ff82,262,3b8,4d,40,ffcb
c793,ff86,262,3b0,60,3d,ffc3
c747,ff88,25e,3ac,ffe1,35,ffbd
c51a,ff82,260,3b0,ffa9,2c,ffb4
c5cd,ff8e,260,3bc,ffcc,22,ffdb
c6d8,ff98,262,3bc,2d,16,ffda
c5dd,ff7e,262,3b2,fff1,33,ffc5
c63a,ff98,260,3c0,ffba,4d,ffc7
c780,ff90,260,3be,ff94,56,ffc4
c773,ff70,260,3be,ff8b,56,ffca
c7d8,ff90,258,3b8,ff95,4a,ffd7
c7b5,ff8e,260,3b6,ffa6,3d,ffdb
caf4,ff80,25e,3be,fffe,40,ffe0
ca74,ff80,268,3b8,9,39,ffdc
cd05,ff8e,260,3b0,f,3d,ffdf
cd70,ff92,260,3b6,11,3d,ffe6
cef8,ff98,260,3be,fff6,3c,ffe8
d10d,ff80,260,3b0,ffd8,3c,ffeb
d1b3,ff80,25e,3b8,ffcf,41,ffed
d1de,ff8e,266,3b2,ffc7,41,ffe5
d49a,ff90,270,3b0,ffc0,45,ffd7
d5b9,ff82,266,3b6,ffdf,40,ffd7
d7dc,ff80,262,3ae,b,3c,ffdb
d9f7,ff7e,262,3c0,30,39,ffdb
dae5,ff90,268,3b0,38,39,ffd1
dbde,ff8c,268,3b0,1c,36,ffcc
dc62,ff86,262,3b8,ffbc,36,ffca
dcbf,ff8e,260,3b0,ffb4,3a,ffcd
ddc3,ff86,25e,3b2,ffc0,36,ffeb
dc25,ff7c,252,3c0,ffc0,32,ffe5
d85a,ff86,266,3b0,ffc8,2e,ffe1
d779,ff82,262,3b6,ffd3,29,ffeb
d69a,ff80,260,3ae,ffcb,21,fff3
d5b0,ff92,266,3be,ffce,1a,fff6
d1e1,ff86,26c,3b0,ffde,14,fff4
d1b6,ff80,262,3b0,ffe2,14,fff5
d1b7,ff86,260,3bc,ffe2,3a,ffcf
cfe2,ff82,270,3b6,ffe6,44,ffd4
d0d7,ff98,260,3b2,ffeb,43,ffbf
ce35,ff7c,262,3b0,ffe9,39,ffbf
cc81,ff66,266,3be,ffe3,37,ffc0
cc8e,ff7e,268,3b0,ffe0,3a,ffc2
cd23,ff8c,268,3b8,ffe4,34,ffc3
cd14,ff8e,26c,3ae,ffe3,3b,ffc7
cca7,ff88,268,3b6,ffdf,3f,ffef
cc46,ff8e,262,3b2,ffd9,35,ffe7
cbf8,ff7c,260,3a6,ffc8,42,ffde
cb31,ff78,266,3ac,ffbc,4e,ffe5
cb81,ff7e,25c,3b8,ffb7,47,ffef
ccb2,ff80,266,3b0,ffb9,43,fff7
cdb1,ff80,266,3b8,ffc5,41,fff8
cd84,ff80,260,3a6,ffca,3e,fff4
ce8a,ff78,260,3b2,ffc6,3e,ffdc
