958c,66,50,fdb0
9c04,6e,50,fdb0
a464,70,3e,fda6
adf6,66,48,fda6
b889,70,4e,fdb0
c3d3,70,52,fda2
d01b,60,4e,fdb2
d9ef,70,42,fdac
e125,60,4e,fdb0
e3b1,72,3c,fdb0
e3c7,62,46,fdae
e2f4,5e,4e,fdb6
e33d,50,4e,fdb8
e677,4e,4e,fdbc
ed20,72,4e,fdb0
f5af,60,52,fdb2
fda6,70,42,fdb0
5f6,6e,52,fdb0
d82,72,3e,fdac
1554,70,50,fdb0
1c77,66,52,fdb0
22cf,60,4c,fdbc
27da,72,3e,fdae
2af7,66,46,fda6
2cb7,60,4e,fdb8
2da6,62,4e,fdb0
2f22,5e,4c,fdac
307d,66,4e,fdae
31d7,70,4c,fda8
3223,60,4e,fdb0
30cb,70,4c,fdb2
2e42,4c,4e,fdbc
2bad,66,4c,fda6
2a9c,70,52,fda0
2a72,66,4c,fdb0
2af4,70,3e,fdac
2b2e,66,50,fdb0
2992,70,4e,fdb0
22fa,66,4e,fda6
1193,72,4c,fda2
f35d,66,4e,fdb0
ce47,6c,4c,fdb0
aa91,5e,4c,fd9e
907d,70,4e,fdae
8283,5e,52,fdb8
8000,66,4e,fdb0
8382,60,4e,fdb0
8b7c,66,48,fda6
9562,5e,4c,fda6
a059,66,4e,fdb0
ad81,50,4e,fdb8
bb65,66,4e,fdb0
c77a,62,46,fdb0
ce7b,4e,50,fdb8
d129,66,4e,fda6
d096,62,4e,fda8
cfb8,56,52,fdb8
ceba,62,4e,fdb8
d027,60,46,fdb8
d414,60,4e,fdac
db59,58,56,fdbe
e34b,72,46,fdae
eb68,60,4c,fda2
f332,70,50,fdb0
fa65,5c,52,fdbc
f8,52,50,fdb8
5f2,72,46,fdb0
ac8,62,4c,fdac
1043,78,3c,fdb0
14aa,60,4e,fdac
1874,70,4e,fdb2
19e7,66,4e,fdac
1977,70,56,fd9e
186b,60,52,fdae
17ef,6e,4e,fdb0
18a2,5e,42,fdb2
1ac9,70,4e,fda6
1d2d,70,4e,fda6
2021,66,56,fdb4
230c,66,4e,fdb0
2432,5c,4e,fdb2
1fca,6e,4e,fdb0
1208,5c,4c,fda2
fbd4,66,48,fdac
def0,60,4e,fdb8
c39b,66,4e,fdae
af24,62,4e,fdb0
a503,66,46,fdae
a428,6e,3e,fdac
aa66,66,4e,fdb2
